host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
100%,,1,1,Entire home/apt,0.0,1.0,1.0,$80.00,,$500.00,3,9,0,38.90605989027168,-77.0293608775106,Washington,20005,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,$40.00,,2,1125,0,38.90922949259982,-77.01974036007556,Washington,20001,DC
100%,77%,2,2,Private room,1.0,1.0,1.0,$105.00,$20.00,$100.00,2,7,18,38.90872886818959,-77.02939578604206,Washington,20005,DC
100%,91%,3,2,Entire home/apt,0.0,1.0,1.0,$128.00,$55.00,,1,1125,7,38.90724939794939,-77.03381189088962,Washington,20005,DC
91%,69%,8,6,Entire home/apt,2.0,1.0,4.0,$300.00,,,1,1125,5,38.90978675019876,-77.03317953140177,Washington,20005,DC
90%,100%,1,4,Entire home/apt,2.0,1.5,2.0,$275.00,$125.00,,4,1125,19,38.91390309767236,-77.03366367244212,Washington,20009,DC
100%,100%,2,3,Entire home/apt,1.0,1.0,1.0,$200.00,$50.00,,2,1125,2,38.912339128948865,-77.02929863231823,Washington,20009,DC
100%,63%,2,5,Entire home/apt,2.0,1.0,3.0,$280.00,$69.00,,2,40,11,38.90649733226172,-77.03349444293212,Washington,20005,DC
100%,100%,2,2,Private room,1.0,1.5,1.0,$99.00,$25.00,,2,1125,20,38.90966412058083,-77.02092620181428,Washington,20001,DC
,100%,1,5,Entire home/apt,2.0,2.0,2.0,$175.00,,,1,1125,1,38.90731347052729,-77.03133491626734,Washington,20005,DC
100%,90%,1,1,Private room,1.0,1.0,1.0,$97.00,$11.00,$100.00,1,1125,15,38.90674895972101,-77.0289287374857,Washington,20005,DC
100%,95%,5,3,Private room,1.0,1.0,2.0,$130.00,$30.00,,3,1125,23,38.911091107242704,-77.02115830634851,Washington,20001,DC
98%,52%,49,2,Private room,1.0,1.0,1.0,$215.00,,,2,14,0,38.90879213095022,-77.02942368590674,Washington,20005,DC
90%,50%,1,2,Entire home/apt,1.0,1.0,1.0,$75.00,,$500.00,14,30,4,38.90610793535514,-77.0267484260179,Washington,20001,DC
98%,52%,49,4,Private room,1.0,1.0,2.0,$185.00,,,2,14,1,38.90958710346802,-77.02756522582004,Washington,20005,DC
100%,81%,2,1,Shared room,1.0,1.0,1.0,$70.00,$7.00,,1,1125,19,38.907914027709815,-77.03447902376814,Washington,20005,DC
67%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$97.00,,,1,1125,0,38.9070151047588,-77.03352370140806,Washington,20005,DC
75%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$130.00,,$150.00,2,1125,2,38.91055330243092,-77.02329955487579,Washington,20001,DC
100%,100%,1,2,Shared room,1.0,1.0,1.0,$120.00,,,1,1125,3,38.90733919101696,-77.03325182658797,Washington,20005,DC
,,1,4,Entire home/apt,1.0,1.0,1.0,$110.00,$60.00,$110.00,2,2,1,38.90625679987072,-77.02662399403764,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1.0,1.5,1.0,$225.00,,,2,1125,2,38.91394312272947,-77.02719362917334,Washington,20009,DC
92%,91%,26,4,Entire home/apt,1.0,1.0,3.0,$140.00,$100.00,$100.00,1,1125,6,38.90790896042132,-77.0256475228827,Washington,20001,DC
100%,29%,2,2,Entire home/apt,1.0,2.0,1.0,$160.00,,$100.00,1,1125,8,38.91118190642453,-77.02281954281898,Washington,20001,DC
100%,97%,3,2,Entire home/apt,1.0,1.0,1.0,$125.00,,,1,110,116,38.90833400223223,-77.03318198778854,Washington,20005,DC
100%,0%,1,2,Private room,1.0,1.5,1.0,$150.00,,,3,1125,4,38.909879761111945,-77.02956582586133,Washington,20005,DC
100%,86%,1,1,Private room,1.0,1.0,1.0,$90.00,$25.00,$150.00,2,1125,4,38.91170684753185,-77.03245591877605,Washington,20009,DC
98%,79%,6,16,Entire home/apt,8.0,8.0,16.0,"$1,250.00",,,1,1125,0,38.907800283333785,-77.03452885597619,Washington,20005,DC
100%,94%,2,8,Entire home/apt,4.0,2.5,4.0,$390.00,$100.00,$150.00,2,1125,1,38.90592891841252,-77.01831690601962,Washington,20001,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$100.00,$50.00,$100.00,1,60,16,38.91370968051757,-77.03214535852155,Washington,20005,DC
90%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$150.00,,,2,6,7,38.90995426465141,-77.02472152707877,Washington,20001,DC
80%,100%,1,4,Entire home/apt,1.0,1.0,1.0,$95.00,$75.00,$400.00,3,365,13,38.905842917961344,-77.03123953312318,Washington,20005,DC
91%,69%,8,7,Entire home/apt,3.0,1.5,4.0,$250.00,,,1,1125,6,38.90760149028441,-77.02421763461011,Washington,20001,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$65.00,$5.00,,1,29,26,38.90938727692827,-77.01830340751944,Washington,20001,DC
60%,100%,1,1,Private room,1.0,1.0,1.0,$70.00,,,4,1125,1,38.91058601905196,-77.02855007454755,Washington,20005,DC
83%,100%,1,7,Entire home/apt,3.0,1.5,4.0,$290.00,$100.00,,2,90,36,38.91135371106272,-77.01754490014419,Washington,20001,DC
100%,99%,4,2,Entire home/apt,1.0,1.0,1.0,$120.00,$15.00,,1,1125,133,38.910846907307565,-77.03031295289017,Washington,20005,DC
100%,80%,1,6,Entire home/apt,1.0,1.0,3.0,$130.00,$30.00,,2,1125,4,38.906778455594214,-77.03370671914283,Washington,20005,DC
100%,100%,2,2,Private room,1.0,1.0,1.0,$84.00,$25.00,,3,21,22,38.90780578727677,-77.01645951910145,Washington,20001,DC
100%,11%,1,2,Entire home/apt,1.0,1.0,1.0,$129.00,$25.00,,1,1125,1,38.909224643450656,-77.021248608705,Washington,20001,DC
100%,100%,1,3,Entire home/apt,0.0,1.0,1.0,$125.00,$30.00,,1,1125,2,38.907405905918466,-77.03448302986551,Washington,20005,DC
100%,0%,1,3,Entire home/apt,1.0,1.0,1.0,$150.00,,,1,1125,5,38.90703054497743,-77.02950952046349,Washington,20005,DC
100%,50%,1,3,Entire home/apt,1.0,1.0,1.0,$130.00,$50.00,,2,1125,5,38.909265215197145,-77.02243181876611,Washington,20001,DC
100%,25%,1,2,Entire home/apt,1.0,1.0,1.0,$210.00,$45.00,$150.00,3,20,11,38.910527430829404,-77.03188264092529,Washington,20005,DC
100%,100%,1,6,Entire home/apt,3.0,2.5,3.0,$497.00,$140.00,$750.00,1,1125,51,38.912690447349405,-77.03044624645375,Washington,20009,DC
99%,98%,222,2,Entire home/apt,0.0,1.0,1.0,$100.00,$95.00,$300.00,3,1125,1,38.90681116578627,-77.03421638118193,Washington,20005,DC
86%,100%,1,6,Entire home/apt,2.0,3.0,2.0,$300.00,$75.00,,1,1125,1,38.911610138125354,-77.02156593674391,Washington,20001,DC
100%,57%,1,3,Entire home/apt,0.0,1.0,2.0,$108.00,$65.00,$200.00,1,1125,1,38.9127254926614,-77.03376642277769,Washington,20009,DC
,,1,6,Entire home/apt,2.0,2.5,2.0,$300.00,,,4,1125,0,38.906171928973976,-77.01557917781938,Washington,20001,DC
92%,95%,1,4,Private room,1.0,1.0,2.0,$75.00,,,1,1125,4,38.90955502727228,-77.03106762511479,Washington,20005,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$120.00,$40.00,$100.00,1,14,15,38.908088659463246,-77.0239073703387,Washington,20001,DC
58%,51%,480,2,Entire home/apt,1.0,1.0,1.0,$249.00,,,4,730,0,38.90782580466149,-77.0316538832722,Washington,20005,DC
100%,100%,1,2,Shared room,1.0,1.0,1.0,$100.00,,,1,1125,1,38.91234204718872,-77.0326187688068,Washington,20009,DC
41%,93%,1,4,Entire home/apt,1.0,1.0,1.0,$125.00,,$100.00,2,365,27,38.9074890292877,-77.03288908883094,Washington,20005,DC
100%,100%,1,1,Entire home/apt,0.0,1.0,1.0,$145.00,,,1,1125,2,38.907349594804394,-77.02401885768903,Washington,20001,DC
100%,77%,2,4,Entire home/apt,2.0,2.0,2.0,$330.00,$60.00,$500.00,2,1125,17,38.90925326370831,-77.03075934065346,Washington,20005,DC
100%,100%,1,1,Private room,1.0,1.0,1.0,$60.00,,$100.00,2,93,6,38.912580710807575,-77.0200589318613,Washington,20001,DC
90%,100%,1,2,Private room,1.0,1.5,1.0,$69.00,$50.00,$100.00,1,1125,77,38.91067688232336,-77.01777737436359,Washington,20001,DC
100%,95%,5,4,Private room,1.0,1.0,2.0,$130.00,$30.00,,3,1125,15,38.91179169104127,-77.0215187461675,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$129.00,,$250.00,3,90,71,38.90878552107135,-77.03344998275317,Washington,20005,DC
58%,51%,480,2,Entire home/apt,1.0,1.0,1.0,$249.00,,,4,730,0,38.90890245511138,-77.03197399313275,Washington,20005,DC
98%,79%,6,6,Entire home/apt,1.0,1.0,3.0,$79.00,$40.00,,1,29,2,38.907477803260434,-77.03341904285132,Washington,20005,DC
94%,94%,2,4,Entire home/apt,1.0,1.0,2.0,$164.00,$60.00,$400.00,2,365,23,38.91227078840637,-77.02872202489564,Washington,20005,DC
98%,79%,6,6,Entire home/apt,2.0,2.0,3.0,$164.00,$40.00,,1,27,0,38.907398743403924,-77.03326544446772,Washington,20005,DC
90%,60%,1,4,Entire home/apt,2.0,2.0,2.0,$299.00,$50.00,,1,1125,9,38.91163686061356,-77.02306775572255,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$130.00,$20.00,$120.00,2,8,10,38.906690624066684,-77.03341277280673,Washington,20005,DC
63%,75%,1,2,Entire home/apt,1.0,1.0,1.0,$125.00,,,2,4,8,38.90774809201221,-77.02323208562319,Washington,20001,DC
,,1,2,Private room,1.0,1.0,1.0,$190.00,,,2,6,0,38.90900226031994,-77.02637332404286,Washington,20001,DC
,,1,2,Private room,1.0,1.5,1.0,$125.00,,,1,3,0,38.909256374664565,-77.02009674626022,Washington,20001,DC
79%,72%,3,2,Private room,1.0,1.0,1.0,$65.00,$40.00,$200.00,3,365,3,38.90965484277996,-77.02475021771988,Washington,20001,DC
100%,50%,1,2,Private room,1.0,1.5,1.0,$75.00,$30.00,,2,14,15,38.907405771015284,-77.02685815027407,Washington,20005,DC
100%,100%,1,1,Private room,1.0,2.0,1.0,$85.00,,,1,1125,1,38.913663283131264,-77.03148933495,Washington,20009,DC
92%,76%,206,5,Entire home/apt,2.0,2.0,3.0,$229.00,$100.00,,3,1125,0,38.90637286755996,-77.02995566891721,Washington,20005,DC
92%,91%,26,15,Entire home/apt,6.0,3.0,9.0,$500.00,$150.00,$100.00,1,28,41,38.90908821329379,-77.0231578633846,Washington,20001,DC
100%,100%,1,6,Entire home/apt,1.0,1.0,4.0,$250.00,$20.00,,1,14,6,38.90825011488385,-77.03392720104526,Washington,20005,DC
,,1,5,Entire home/apt,1.0,1.0,2.0,$117.00,$50.00,,6,1125,6,38.90642772875445,-77.02500998802772,Washington,20001,DC
100%,100%,3,11,Entire home/apt,3.0,2.5,3.0,$298.00,$150.00,,2,60,69,38.90688820667742,-77.02508376559794,Washington,20001,DC
92%,91%,26,6,Entire home/apt,2.0,1.0,4.0,$200.00,$130.00,$100.00,1,1125,8,38.90641243995687,-77.02388319618053,Washington,20001,DC
100%,100%,4,4,Entire home/apt,1.0,1.0,2.0,$110.00,$40.00,$100.00,1,1125,0,38.90910736216826,-77.03007565072494,Washington,20005,DC
100%,99%,4,2,Entire home/apt,0.0,1.0,1.0,$120.00,$15.00,,1,1125,38,38.908273718722995,-77.03156697938337,Washington,20005,DC
100%,95%,5,10,Entire home/apt,3.0,3.0,6.0,$450.00,$100.00,,2,1125,6,38.911639298196995,-77.02218697001629,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$99.00,$70.00,$500.00,2,365,54,38.91167457350277,-77.01797134805273,"Washington, D.C.",20001,DC
75%,,1,8,Entire home/apt,2.0,0.0,4.0,$275.00,$75.00,$300.00,2,7,7,38.907565860519405,-77.01857717905872,Washington,20001,DC
98%,52%,49,2,Private room,1.0,1.0,1.0,$185.00,,,2,14,0,38.908673919319895,-77.02894399320388,Washington,20005,DC
100%,100%,1,5,Entire home/apt,1.0,1.0,2.0,$120.00,$50.00,,1,1125,2,38.91160123515532,-77.02265354423264,Washington,20001,DC
100%,67%,1,2,Entire home/apt,0.0,1.0,1.0,$150.00,,,1,1125,4,38.90822081773287,-77.03307544513315,Washington,20005,DC
80%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$121.00,$60.00,$300.00,1,7,2,38.90898652569643,-77.02200797541852,Washington,20001,DC
,,1,2,Private room,1.0,1.0,1.0,$75.00,,$100.00,1,1125,0,38.90639013256813,-77.03019388482485,Washington,20005,DC
86%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$105.00,,$500.00,4,32,26,38.91123736952681,-77.0288324415462,Washington,20001,DC
70%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$150.00,$40.00,,1,1125,4,38.9100910852636,-77.03309451694325,Washington,20005,DC
100%,67%,1,4,Entire home/apt,0.0,1.0,1.0,$100.00,$10.00,,2,1125,4,38.90785760344514,-77.03146100125731,Washington,20005,DC
58%,51%,480,4,Entire home/apt,2.0,2.0,2.0,$249.00,$150.00,,7,365,0,38.90716633153188,-77.02323502252538,Washington,20229,DC
100%,100%,1,5,Entire home/apt,2.0,1.0,2.0,$275.00,$80.00,,2,1125,15,38.90706106255475,-77.02587127068381,Washington,20001,DC
100%,95%,3,4,Entire home/apt,2.0,2.0,2.0,$160.00,$25.00,$250.00,2,1125,12,38.91112653906322,-77.02193025250062,Washington,20001,DC
20%,100%,1,6,Entire home/apt,3.0,3.5,3.0,$475.00,$200.00,$500.00,3,1125,1,38.91098450123165,-77.02986831016321,Washington,20009,DC
100%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$115.00,$50.00,,3,365,41,38.909727478410204,-77.02043988693866,Washington,20001,DC
100%,97%,3,6,Shared room,1.0,2.5,16.0,$45.00,,,1,1125,2,38.91053979568035,-77.02278347499721,Washington,20001,DC
80%,100%,1,6,Entire home/apt,2.0,2.5,2.0,$150.00,$75.00,,3,29,51,38.90994088865431,-77.0200167326572,Washington,20001,DC
76%,50%,1,2,Private room,1.0,1.0,1.0,$90.00,,,3,1125,5,38.90581546359917,-77.02100048909995,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$217.00,$50.00,$150.00,4,1125,5,38.91251660061382,-77.02909001399182,Washington,20009,DC
80%,100%,1,2,Private room,1.0,2.0,1.0,$97.00,$25.00,,2,14,5,38.91108856909121,-77.0295207588927,Washington,20005,DC
100%,93%,6,14,Entire home/apt,5.0,3.0,7.0,$399.00,$150.00,$500.00,1,1125,2,38.90787360631952,-77.02636702327834,Washington,20009,DC
80%,79%,1,4,Entire home/apt,0.0,1.0,2.0,$118.00,$35.00,$95.00,1,14,28,38.906634509866585,-77.0323012026506,Washington,20005,DC
97%,100%,6,4,Entire home/apt,1.0,1.0,2.0,$130.00,$75.00,$400.00,4,90,31,38.906921669731844,-77.02423791545121,Washington,20001,DC
100%,97%,3,6,Shared room,1.0,1.0,6.0,$36.00,,,1,1125,11,38.911918270572095,-77.021905199059,Washington,20001,DC
100%,,1,4,Entire home/apt,1.0,1.0,1.0,$100.00,,,1,1125,0,38.9086647413153,-77.02947268168231,Washington,20005,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$125.00,$50.00,,2,1125,1,38.908197663935596,-77.031134265648,Washington,20005,DC
100%,95%,5,7,Private room,1.0,2.0,4.0,$300.00,$60.00,,3,1125,8,38.91080779377773,-77.02158954087935,Washington,20001,DC
,,1,4,Entire home/apt,2.0,2.0,2.0,$199.00,,,2,366,0,38.906750753358494,-77.016929811818,Washington,20001,DC
100%,83%,1,4,Entire home/apt,2.0,1.5,2.0,$150.00,$30.00,,1,1125,2,38.90811689887617,-77.02831976403306,Washington,20005,DC
100%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$125.00,$35.00,,2,10,23,38.90675752562374,-77.03377189687932,Washington,20005,DC
100%,86%,1,2,Private room,1.0,1.0,1.0,$110.00,,,1,30,157,38.90668571701021,-77.03305247745007,Washington,20005,DC
100%,50%,1,4,Entire home/apt,2.0,2.0,2.0,$320.00,$120.00,$500.00,3,1125,0,38.909120469813104,-77.03299149244681,Washington,20005,DC
80%,69%,2,2,Private room,1.0,1.0,1.0,$88.00,$65.00,,1,1125,1,38.907101407003104,-77.02439194147138,Washington,20001,DC
100%,67%,1,5,Entire home/apt,3.0,3.0,2.0,$329.00,$50.00,$300.00,1,1125,4,38.906580751962366,-77.01686432573631,Washington,20001,DC
83%,33%,1,2,Entire home/apt,1.0,1.0,1.0,$99.00,,,1,1125,3,38.91300639477535,-77.02938474099217,Washington,20009,DC
100%,89%,2,1,Private room,1.0,1.0,1.0,$59.00,$10.00,$100.00,2,1125,8,38.888680090146224,-76.92996784345634,Washington,20019,DC
100%,100%,1,6,Entire home/apt,2.0,1.0,2.0,$70.00,$25.00,$100.00,3,365,80,38.889109045872004,-76.93597781718168,Washington,20019,DC
75%,,1,2,Entire home/apt,1.0,1.0,1.0,$75.00,,,1,1125,0,38.88806448788282,-76.9257311460458,Washington,20019,DC
100%,94%,2,3,Private room,1.0,1.0,3.0,$70.00,,$200.00,1,14,9,38.889573829493244,-76.91835421965328,Washington,20019,DC
,,1,1,Private room,1.0,1.0,1.0,"$1,300.00",,,1,1125,0,38.886240514671705,-76.93040391935851,Washington,20019,DC
100%,100%,1,1,Private room,1.0,1.0,1.0,$58.00,$10.00,,2,20,6,38.8862842959476,-76.92942258114545,Washington,20019,DC
100%,89%,2,2,Private room,1.0,1.0,1.0,$55.00,$10.00,,1,1125,1,38.88866728418935,-76.92912918651555,Washington,20019,DC
100%,94%,2,2,Private room,1.0,1.0,1.0,$47.00,,$200.00,1,1125,50,38.88879959165757,-76.91753600665534,Washington,20019,DC
100%,70%,1,2,Private room,1.0,1.0,1.0,$60.00,$20.00,$100.00,1,31,36,38.91377004248746,-77.08336526984715,Washington,20007,DC
50%,,1,4,Entire home/apt,1.0,1.0,2.0,$135.00,$70.00,$175.00,2,7,4,38.92890363565046,-77.08415439758906,Washington,20016,DC
99%,96%,32,3,Entire home/apt,1.0,1.0,2.0,$89.00,$45.00,$100.00,4,120,75,38.91988024768693,-77.09795840948655,Washington,20007,DC
92%,100%,1,6,Private room,1.0,1.0,5.0,$150.00,$20.00,,1,1125,18,38.92999849381147,-77.1004869401454,Washington,20016,DC
100%,,2,1,Private room,1.0,1.0,1.0,$65.00,$50.00,,1,1125,1,38.93450345909661,-77.1103372705268,Washington,20016,DC
99%,96%,32,5,Entire home/apt,1.0,1.0,2.0,$109.00,$45.00,$100.00,2,365,28,38.925270025873225,-77.10129075130894,Washington,20016,DC
99%,96%,32,4,Entire home/apt,,1.0,3.0,$99.00,$45.00,$100.00,2,365,68,38.92624427941491,-77.10301284460219,Washington,20016,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$69.00,,,2,1125,17,38.90592217020912,-77.08163891013922,Washington,20007,DC
50%,,2,4,Entire home/apt,2.0,2.5,2.0,$300.00,$125.00,"$1,200.00",7,1125,0,38.92197340515124,-77.10245905770878,Washington,20016,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$114.00,,,3,1125,18,38.90865111069138,-77.08813460322888,Washington,20007,DC
80%,,3,1,Private room,1.0,1.0,1.0,$100.00,$50.00,$250.00,4,1125,0,38.90996419284039,-77.0873226787801,Washington,20007,DC
90%,100%,2,1,Private room,1.0,1.0,1.0,$69.00,$150.00,$200.00,2,365,5,38.928835729966885,-77.1003983180412,Washington,20016,DC
100%,100%,1,6,Entire home/apt,3.0,3.5,4.0,$350.00,$100.00,$500.00,2,1125,1,38.94160194076944,-77.09646120298444,Washington,20016,DC
90%,100%,1,1,Private room,1.0,1.0,1.0,$100.00,$40.00,,2,180,13,38.928992629738545,-77.10226970729906,Washington,20016,DC
80%,,3,1,Private room,1.0,1.0,1.0,$115.00,$50.00,$250.00,4,1125,0,38.910147626077034,-77.08676547816594,Washington,20007,DC
99%,96%,32,2,Entire home/apt,,1.0,1.0,$99.00,$45.00,$100.00,2,365,19,38.925217074016686,-77.10218794815816,Washington,20016,DC
83%,67%,1,1,Private room,1.0,1.0,1.0,$43.00,$50.00,$250.00,1,1125,0,38.9212172729561,-77.1002054609144,Washington,20016,DC
50%,100%,1,1,Private room,1.0,1.0,1.0,$50.00,,,1,1125,0,38.9111443258147,-77.08219994434086,Washington,20007,DC
100%,,2,9,Entire home/apt,4.0,2.0,4.0,$380.00,$140.00,$490.00,3,1125,1,38.909088934867285,-77.08195943522463,Washington,20007,DC
50%,,2,2,Private room,1.0,1.0,1.0,$80.00,$50.00,$250.00,3,365,14,38.92319839873435,-77.10166310289006,Washington,20016,DC
99%,96%,32,2,Entire home/apt,1.0,1.0,1.0,$149.00,$45.00,$100.00,4,109,8,38.92150060596783,-77.09907969454557,Washington,20016,DC
80%,100%,1,1,Private room,1.0,1.0,1.0,$39.00,,,1,1125,0,38.909695766645996,-77.08711965840402,Washington,20007,DC
,,1,3,Entire home/apt,1.0,1.0,3.0,$50.00,$50.00,"$1,500.00",1,1125,1,38.933946509602855,-77.10952219840992,Washington,20016,DC
99%,89%,25,5,Entire home/apt,0.0,1.0,1.0,$115.00,$85.00,$300.00,3,1125,15,38.90707678302419,-77.07991414353096,Washington,20007,DC
,,1,9,Entire home/apt,5.0,3.5,6.0,$850.00,,,1,1125,0,38.931607359996654,-77.0919115040124,Washington,20016,DC
100%,,2,1,Private room,1.0,1.0,1.0,$58.00,$50.00,,14,1125,0,38.93572510389517,-77.11052535417828,Washington,20016,DC
100%,100%,2,11,Entire home/apt,6.0,4.5,11.0,$650.00,$200.00,$500.00,7,1125,2,38.91845807452178,-77.09478866512089,Washington,20007,DC
100%,,1,4,Entire home/apt,1.0,1.0,2.0,$150.00,$50.00,$500.00,6,30,5,38.91491570957452,-77.08990702148805,Washington,20007,DC
80%,75%,2,2,Private room,1.0,1.0,1.0,$99.00,$20.00,$500.00,2,45,1,38.94320287929582,-77.0938281598287,Washington,20016,DC
99%,96%,32,4,Entire home/apt,,1.0,2.0,$110.00,$55.00,$100.00,2,365,33,38.92507976667401,-77.10255883110952,Washington,20016,DC
50%,67%,1,1,Private room,1.0,1.0,1.0,$40.00,,,1,1125,0,38.909153380213816,-77.08775920550507,Washington,20007,DC
80%,,3,2,Private room,1.0,1.0,1.0,$110.00,$50.00,$250.00,4,1125,0,38.911361705498045,-77.08716658054091,Washington,20007,DC
80%,0%,1,3,Entire home/apt,1.0,1.0,1.0,$165.00,$25.00,,1,1125,4,38.917934938786786,-77.096022951837,Washington,20007,DC
100%,,2,5,Entire home/apt,1.0,2.5,4.0,$600.00,$100.00,"$1,000.00",4,1125,0,38.91896129490704,-77.09811726936472,Washington,20007,DC
50%,0%,1,8,Entire home/apt,5.0,4.0,6.0,$299.00,$100.00,$200.00,2,1125,8,38.92290036523511,-77.098213345075,Washington,20016,DC
,,1,2,Private room,1.0,1.0,2.0,$120.00,$30.00,,1,1125,1,38.909877336746966,-77.08078886300629,Washington,20007,DC
50%,,1,6,Entire home/apt,3.0,2.5,4.0,$260.00,$130.00,$200.00,3,60,28,38.90606293307571,-77.08050007702678,Washington,20007,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$125.00,$50.00,,1,1125,4,38.91079534835794,-77.08720992954706,Washington,20007,DC
100%,100%,1,8,Entire home/apt,4.0,4.5,5.0,$500.00,$200.00,$500.00,3,1125,8,38.93252293784358,-77.08725138851685,Washington,20016,DC
100%,0%,1,3,Private room,1.0,1.0,2.0,$175.00,$25.00,,1,1125,2,38.92926049729537,-77.08502431364221,Washington,20016,DC
91%,95%,4,1,Private room,1.0,2.0,1.0,$33.00,,$100.00,1,1125,10,38.905010571142675,-76.94131929989925,Washington,20019,DC
91%,95%,4,3,Private room,1.0,1.0,3.0,$40.00,,$100.00,1,1125,46,38.906554201724646,-76.94186524718295,Washington,20019,DC
100%,89%,2,2,Private room,1.0,2.0,1.0,$60.00,$10.00,,1,365,67,38.90644939181521,-76.9430500422135,Washington,20019,DC
91%,95%,4,2,Private room,1.0,1.0,2.0,$33.00,,$100.00,1,1125,34,38.906786851240135,-76.94247639501393,Washington,20019,DC
100%,89%,2,1,Private room,1.0,1.0,1.0,$50.00,$10.00,,1,1125,7,38.90728232230083,-76.94338545274852,Washington,20019,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$49.00,$25.00,,1,1125,11,38.90475607578117,-76.97936592556711,Washington,20002,DC
95%,96%,3,1,Private room,1.0,1.0,3.0,$38.00,$60.00,$450.00,2,1125,2,38.90137678568773,-76.97560745876807,Washington,20002,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$65.00,,,1,1125,2,38.91251412129079,-76.98640926405065,Washington,20002,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$49.00,,,1,1125,3,38.906857417742295,-76.98376367137672,Washington,20002,DC
100%,100%,2,2,Private room,1.0,1.0,1.0,$59.00,,,2,11,66,38.905805627038475,-76.99576675110491,Washington,20002,DC
,,1,4,Entire home/apt,2.0,2.0,2.0,$200.00,$70.00,$250.00,2,28,0,38.90082117649061,-76.97388088344957,Washington,20002,DC
96%,90%,4,5,Entire home/apt,1.0,1.0,3.0,$113.00,$50.00,$100.00,1,1125,0,38.90191590959081,-76.98816050158572,Washington,20002,DC
100%,50%,2,8,Entire home/apt,4.0,2.0,4.0,$250.00,,$200.00,2,1125,13,38.90306278766893,-76.99040044649955,Washington,20002,DC
95%,96%,3,6,Private room,1.0,1.0,3.0,$65.00,$60.00,$550.00,2,365,9,38.8997056687324,-76.9754730750784,Washington,20002,DC
100%,100%,2,5,Entire home/apt,3.0,2.5,4.0,$169.00,$75.00,,4,30,4,38.91074358650153,-76.98531415158651,Washington,20002,DC
100%,,1,16,Private room,1.0,1.0,1.0,"$1,000.00",,,1,1125,0,38.90132179449439,-76.98635601200202,Washington,20002,DC
100%,,1,4,Entire home/apt,1.0,1.0,1.0,$99.00,$45.00,,1,1125,0,38.91292245552814,-76.9886847190426,Washington,20002,DC
100%,100%,3,4,Entire home/apt,2.0,1.0,2.0,$145.00,$50.00,,3,1125,6,38.90525620523456,-76.9959874778188,Washington,20002,DC
20%,,1,2,Entire home/apt,2.0,1.0,2.0,$115.00,$75.00,,1,1125,4,38.90450110526055,-76.97537356828711,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$100.00,$25.00,$600.00,1,1125,11,38.90567241798039,-76.97937519514534,Washington,20002,DC
88%,88%,1,2,Private room,1.0,1.0,1.0,$55.00,,,3,1125,4,38.90612847003002,-76.99653819445278,Washington,20002,DC
100%,,1,1,Private room,1.0,1.0,1.0,$55.00,,,1,1125,0,38.90069240467504,-76.97497778467871,Washington,20002,DC
95%,96%,3,1,Private room,1.0,1.0,1.0,$34.00,$60.00,$500.00,1,1125,0,38.901626815871076,-76.97426361711234,Washington,20002,DC
100%,98%,3,4,Entire home/apt,1.0,1.0,1.0,$99.00,$45.00,$200.00,2,365,13,38.904646467743724,-76.98759440388028,Washington,20002,DC
100%,0%,1,4,Entire home/apt,2.0,1.5,2.0,$105.00,,,1,1125,0,38.90556436429081,-76.98281607729426,Washington,20002,DC
100%,100%,1,4,Entire home/apt,2.0,1.0,3.0,$125.00,$50.00,,1,1125,1,38.90586330575604,-76.98255657799166,Washington,20002,DC
64%,97%,2,2,Private room,1.0,1.0,1.0,$44.00,$15.00,$400.00,2,1125,4,38.9051587791174,-76.98420648254012,Washington,20002,DC
